download_date,country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
2026-03-08 02:23:20,India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",06-03-2026 14:00:00,14.675886,77.593027,SO2,10,18,11
2026-03-08 02:23:20,India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",06-03-2026 14:00:00,13.204880,79.097889,SO2,10,11,11
2026-03-08 02:23:20,India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",06-03-2026 14:00:00,14.465052,78.824187,NO2,NA,NA,NA
2026-03-08 02:23:20,India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",06-03-2026 14:00:00,14.465052,78.824187,OZONE,13,16,15
2026-03-08 02:23:20,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",06-03-2026 14:00:00,16.9872867,81.7363176,PM10,79,112,97
2026-03-08 02:23:20,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",06-03-2026 14:00:00,16.9872867,81.7363176,CO,14,44,33
2026-03-08 02:23:20,India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB",06-03-2026 14:00:00,13.67,79.35,PM10,76,133,98
2026-03-08 02:23:20,India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",06-03-2026 14:00:00,13.615387,79.409230,NH3,6,7,7
2026-03-08 02:23:20,India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",06-03-2026 14:00:00,13.615387,79.409230,SO2,17,20,19
2026-03-08 02:23:20,India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",06-03-2026 14:00:00,13.615387,79.409230,CO,20,25,22
2026-03-08 02:23:20,India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",06-03-2026 14:00:00,26.80365,84.51954,PM2.5,22,140,64
2026-03-08 02:23:20,India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",06-03-2026 14:00:00,26.80365,84.51954,SO2,11,18,15
2026-03-08 02:23:20,India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",06-03-2026 14:00:00,26.80365,84.51954,OZONE,20,23,22
2026-03-08 02:23:20,India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",06-03-2026 14:00:00,25.251013,86.989001,PM2.5,57,210,134
2026-03-08 02:23:20,India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",06-03-2026 14:00:00,25.251013,86.989001,CO,12,28,20
2026-03-08 02:23:20,India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",06-03-2026 14:00:00,25.251013,86.989001,OZONE,10,25,18
