download_date,country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
2026-03-03 02:24:24,India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",03-03-2026 04:00:00,26.187500,91.744194,SO2,28,58,43
2026-03-03 02:24:24,India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",03-03-2026 04:00:00,26.187500,91.744194,OZONE,16,29,20
2026-03-03 02:24:24,India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",03-03-2026 04:00:00,26.349082,92.68449,NO2,1,1,1
2026-03-03 02:24:24,India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",03-03-2026 04:00:00,26.349082,92.68449,NH3,4,4,4
2026-03-03 02:24:24,India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",03-03-2026 04:00:00,26.349082,92.68449,CO,14,30,25
2026-03-03 02:24:24,India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",03-03-2026 04:00:00,26.349082,92.68449,OZONE,8,9,9
2026-03-03 02:24:24,India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",03-03-2026 04:00:00,26.446912,91.439057,NO2,14,16,14
2026-03-03 02:24:24,India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",03-03-2026 04:00:00,26.446912,91.439057,SO2,7,22,10
2026-03-03 02:24:24,India,Assam,Silchar,"Tarapur, Silchar - PCBA",03-03-2026 04:00:00,24.82827,92.79525,CO,17,36,26
2026-03-03 02:24:24,India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",03-03-2026 04:00:00,26.146529,87.454184,PM2.5,28,338,101
2026-03-03 02:24:24,India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",03-03-2026 04:00:00,14.675886,77.593027,PM10,62,77,69
2026-03-03 02:24:24,India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",03-03-2026 04:00:00,13.204880,79.097889,PM2.5,55,70,60
2026-03-03 02:24:24,India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",03-03-2026 04:00:00,13.204880,79.097889,NH3,6,7,6
2026-03-03 02:24:24,India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",03-03-2026 04:00:00,14.465052,78.824187,PM2.5,57,88,66
2026-03-03 02:24:24,India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",03-03-2026 04:00:00,14.465052,78.824187,PM10,75,102,84
2026-03-03 02:24:24,India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",03-03-2026 04:00:00,14.465052,78.824187,NH3,4,4,4
2026-03-03 02:24:24,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",03-03-2026 04:00:00,16.9872867,81.7363176,PM2.5,59,93,75
2026-03-03 02:24:24,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",03-03-2026 04:00:00,16.9872867,81.7363176,SO2,5,34,10
2026-03-03 02:24:24,India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB",03-03-2026 04:00:00,24.792403,84.992416,PM2.5,43,157,88
2026-03-03 02:24:24,India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB",03-03-2026 04:00:00,24.792403,84.992416,NO2,11,12,12
2026-03-03 02:24:24,India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB",03-03-2026 04:00:00,24.792403,84.992416,NH3,1,4,1
