download_date,country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
2026-02-09 18:31:39,India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB",09-02-2026 17:00:00,16.486692,80.699436,SO2,11,19,16
2026-02-09 18:31:39,India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",09-02-2026 17:00:00,16.509717,80.612222,CO,30,30,30
2026-02-09 18:31:39,India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB",09-02-2026 17:00:00,16.554731,80.649110,PM10,50,75,67
2026-02-09 18:31:39,India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB",09-02-2026 17:00:00,16.554731,80.649110,NO2,22,26,22
2026-02-09 18:31:39,India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",09-02-2026 17:00:00,17.72,83.3,PM2.5,71,266,142
2026-02-09 18:31:39,India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB",09-02-2026 17:00:00,27.103358,93.679645,PM2.5,42,422,185
2026-02-09 18:31:39,India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB",09-02-2026 17:00:00,27.103358,93.679645,NH3,1,1,1
2026-02-09 18:31:39,India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB",09-02-2026 17:00:00,27.103358,93.679645,SO2,9,10,10
2026-02-09 18:31:39,India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",09-02-2026 17:00:00,26.071318,91.87488,NO2,4,10,8
2026-02-09 18:31:39,India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",09-02-2026 17:00:00,26.071318,91.87488,NH3,4,4,4
2026-02-09 18:31:39,India,Bihar,Gaya,"Collectorate, Gaya - BSPCB",09-02-2026 17:00:00,24.7955,84.9994,OZONE,NA,NA,NA
2026-02-09 18:31:39,India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB",09-02-2026 17:00:00,24.792403,84.992416,SO2,41,44,42
2026-02-09 18:31:39,India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",09-02-2026 17:00:00,24.762518,84.982348,SO2,8,10,9
