download_date,country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
2026-02-14 02:11:07,India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",14-02-2026 06:00:00,17.72,83.3,CO,6,101,44
2026-02-14 02:11:07,India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",14-02-2026 06:00:00,17.72,83.3,OZONE,4,88,12
2026-02-14 02:11:07,India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB",14-02-2026 06:00:00,27.103358,93.679645,PM10,83,402,172
2026-02-14 02:11:07,India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",14-02-2026 06:00:00,26.071318,91.87488,NO2,4,11,7
2026-02-14 02:11:07,India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",14-02-2026 06:00:00,26.071318,91.87488,NH3,4,4,4
2026-02-14 02:11:07,India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA",14-02-2026 06:00:00,26.181742,91.78063,SO2,23,26,25
2026-02-14 02:11:07,India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",14-02-2026 06:00:00,26.349082,92.68449,PM10,93,137,113
2026-02-14 02:11:07,India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",14-02-2026 06:00:00,26.349082,92.68449,NH3,4,4,4
2026-02-14 02:11:07,India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",14-02-2026 06:00:00,26.349082,92.68449,SO2,1,13,10
2026-02-14 02:11:07,India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",14-02-2026 06:00:00,26.349082,92.68449,OZONE,8,9,9
2026-02-14 02:11:07,India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",14-02-2026 06:00:00,26.446912,91.439057,PM10,93,130,110
2026-02-14 02:11:07,India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",14-02-2026 06:00:00,26.446912,91.439057,NH3,6,6,6
2026-02-14 02:11:07,India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",14-02-2026 06:00:00,26.446912,91.439057,CO,20,22,21
2026-02-14 02:11:07,India,Assam,Silchar,"Tarapur, Silchar - PCBA",14-02-2026 06:00:00,24.82827,92.79525,PM10,38,67,52
2026-02-14 02:11:07,India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA",14-02-2026 06:00:00,26.987634,94.636574,NO2,35,73,51
2026-02-14 02:11:07,India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",14-02-2026 06:00:00,14.465052,78.824187,NH3,3,3,3
2026-02-14 02:11:07,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",14-02-2026 06:00:00,16.9872867,81.7363176,PM10,92,140,115
2026-02-14 02:11:07,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",14-02-2026 06:00:00,16.9872867,81.7363176,SO2,7,31,17
2026-02-14 02:11:07,India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",14-02-2026 06:00:00,26.10887,91.589544,NO2,11,23,15
2026-02-14 02:11:07,India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",14-02-2026 06:00:00,26.10887,91.589544,SO2,6,15,11
2026-02-14 02:11:07,India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",14-02-2026 06:00:00,26.10887,91.589544,OZONE,9,15,12
2026-02-14 02:11:07,India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",14-02-2026 06:00:00,26.187500,91.744194,SO2,25,54,39
2026-02-14 02:11:07,India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",14-02-2026 06:00:00,14.675886,77.593027,NH3,4,7,5
2026-02-14 02:11:07,India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",14-02-2026 06:00:00,13.204880,79.097889,NO2,13,17,14
2026-02-14 02:11:07,India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",14-02-2026 06:00:00,16.536107,80.594233,CO,32,40,40
2026-02-14 02:11:07,India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",14-02-2026 06:00:00,16.536107,80.594233,OZONE,NA,NA,NA
2026-02-14 02:11:07,India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",14-02-2026 06:00:00,13.615387,79.409230,PM10,NA,NA,NA
2026-02-14 02:11:07,India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",14-02-2026 06:00:00,13.615387,79.409230,CO,NA,NA,NA
2026-02-14 02:11:07,India,Andaman and Nicobar,Sri Vijaya Puram,"Police Line, Sri Vijaya Puram - ANPCC",14-02-2026 06:00:00,11.654054,92.734055,PM10,NA,NA,NA
